Class	name	compound	medium	mass	units	cheb_name	cheb_mass	mmol_per_L	dynamic
Minerals	FeCl3 + multiple	fe3	M4	10003.0	mg	iron(3+)	55.845	179.12078073238428	0
manual curation	multiple + CuSO4 (anhydrous)	cu2	M4	10000.064	g	copper(2+)	63.546	157367.32445787307	0
Buffer	K2HPO4 + KH2PO4	pi	M4	9.589	g	phosphate(3-)	94.97136	100.96728108347611	0
Minerals	H3BO3 + Pyridoxamine . 2 HCl + KH2PO4 + Thiamine HCl + K2HPO4	h	M4	64.68900000000001	mg	hydron	1.00794	64.17941544139532	0
Minerals	(NH4)6Mo7O24·4H2O + Na2MoO4 . 2H2O	mobd	M4	0.29000000000000004	mg	molybdate	159.9376	0.001813207150788808	1
Minerals	MgSO4 * 7 H2O + MgCl2	mg2	M4	30.386	mg	magnesium(2+)	24.305	1.2501954330384695	0
SCFAs	Acetic acid + KCH3CO2 (Potassium acetate)	ac	M4	2.6	mL	acetate	59.04402	30.0	1
Other	Hemin + Hematin	pheme	M4	1.7	mg	ferroheme b	616.487	0.002757560175640362	1
Minerals	Ammonium citrate dibasic + (NH4)6Mo7O24·4H2O	nh4	M4	1.89	g	ammonia	17.03056	110.97697315883916	1
Vitamins	Calcium Pantothenate + CaCl2 (anhydrous)	ca2	M5	31.4	mg	calcium(2+)	40.078	0.7834722291531512	0
Vitamins	Thiamine HCl + Pyridoxamine . 2 HCl + MgCl2 + NiCl2 . 6H2O + CaCl2 (anhydrous) + CoCl2·6H2O + NaCl + FeCl3	cl	M5	42.546	mg	chloride	35.4527	1.2000778502060492	0
Minerals	NiCl2 . 6H2O + multiple	ni2	M5	10000.2	mg	nickel(2+)	58.6934	170.38031533358097	0
Minerals	Na2MoO4 . 2H2O + NaHCO3 + Na2SeO3 (anhydrous) + Na2WO4 . 2H2O + NaCl	na1	M5	13.61	mg	sodium(1+)	22.98977	0.5920024428256568	0
Minerals	ZnSO4 * 7 H2O + FeSO4 . 7H2O + MgSO4 * 7 H2O + CuSO4 (anhydrous) + MnSO4 * H2O + K2SO4 + AlK(SO4)2 (anhydrous)	so4	M5	67.22	mg	sulfate	96.0636	0.6997447524348454	1
Minerals	KI + K2SO4 + K2HPO4 + KH2PO4 + KCH3CO2 (Potassium acetate) + AlK(SO4)2 (anhydrous)	k	M5	44.199	mg	potassium(1+)	39.0983	1.1304583575244957	0
Minerals	CoCl2·6H2O + Co(NO3)2 . 6H2O + multiple	cobalt2	M5	10001.19	mg	cobalt(2+)	58.9332	169.70383417157052	0
Minerals	ZnSO4 * 7 H2O + multiple	zn2	M5	10005.0	mg	zinc(2+)	65.39	153.0050466432176	0
Minerals	MnSO4 * H2O + multiple	mn2	M5	10005.0	mg	manganese(2+)	54.93805	182.1142177416199	0
Minerals	FeCl3 + multiple	fe3	M5	10003.0	mg	iron(3+)	55.845	179.12078073238428	0
