community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	L_lactis	L_plantarum	M_glcur_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_glu__L_e	1.0	0.02	1	0.02
all	minimal	L_lactis	L_plantarum	M_gly_e	1.0	0.03	1	0.03
all	minimal	L_lactis	L_plantarum	M_glyald_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_glyb_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_glyc3p_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_glyc_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_glyclt_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_glycogen1500_e	1.0	1.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_gsn_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_gthox_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_gthrd_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_gua_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_h2o2_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_h2o_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_h2s_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_h_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_his__L_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_hqn_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_hxan_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_ile__L_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_inost_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_k_e	1.0	1.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_lac__D_e	1.0	0.0	1	0.0
all	minimal	L_lactis	L_plantarum	M_lac__L_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_lcts_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_lys__L_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_madg_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_mal__L_e	1.0	0.01	1	0.01
all	minimal	L_lactis	L_plantarum	M_malt_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_malthx_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_maltttr_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_man1p_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_man_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_mbdg_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_melib_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_meoh_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_met__L_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_metox__R_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_metox_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_mg2_e	1.0	1.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_mmet_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_mn2_e	1.0	1.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_mnl_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_mso3_e	1.0	0.0	0	0.0
all	minimal	L_lactis	L_plantarum	M_murein4p3p_e	1.0	0.0	0	0.0
