,time,A_muciniphila_M2_ODfc,A_odontolyticus_M2_ODfc,A_putredinis_M2_ODfc,A_shahii_M2_ODfc,B_adolescentis_M2_ODfc,B_animalis_subsp_lactis_BI_07_M2_ODfc,B_animalis_subsp_lactis_BL_04_M2_ODfc,B_caccae_M2_ODfc,B_clarus_M2_ODfc,B_coprocola_M2_ODfc,B_crossotus_M2_ODfc,B_dorei_M2_ODfc,B_eggerthii_M2_ODfc,B_fragilis_M2_ODfc,B_fragilis_enterotoxigenic_M2_ODfc,B_fragilis_HM_20_M2_ODfc,B_fragilis_HM_709_M2_ODfc,B_fragilis_HM_710_M2_ODfc,B_fragilis_HM_711_M2_ODfc,B_fragilis_HM_712_M2_ODfc,B_fragilis_HM_713_M2_ODfc,B_fragilis_HM_714_M2_ODfc,B_hansenii_M2_ODfc,B_longum_subsp_infantis_M2_ODfc,B_longum_subsp_longum_M2_ODfc,B_obeum_M2_ODfc,B_ovatus_M2_ODfc,B_stercoris_M2_ODfc,B_thetaiotaomicron_M2_ODfc,B_uniformis_M2_ODfc,B_uniformis_HM_715_M2_ODfc,B_uniformis_HM_716_M2_ODfc,B_vulgatus_M2_ODfc,B_vulgatus_HM_720_M2_ODfc,B_wadsworthia_M2_ODfc,B_xylanisolvens_M2_ODfc,C_aerofaciens_M2_ODfc,C_bolteae_M2_ODfc,C_catus_M2_ODfc,C_comes_M2_ODfc,C_leptum_M2_ODfc,C_perfringens_C36_M2_ODfc,C_perfringens_S107_M2_ODfc,C_ramosum_M2_ODfc,C_saccharolyticum_M2_ODfc,D_formicigenerans_M2_ODfc,D_piger_M2_ODfc,E_coli_CFT073_M2_ODfc,E_coli_E2348_69_M2_ODfc,E_coli_ED1a_M2_ODfc,E_coli_H10407_M2_ODfc,E_coli_HM605_M2_ODfc,E_coli_IAI1_M2_ODfc,E_coli_UTI89_M2_ODfc,E_eligens_M2_ODfc,E_lenta_M2_ODfc,E_limosum_M2_ODfc,E_rectale_M2_ODfc,E_siraeum_M2_ODfc,F_nucleatum_subsp_animalis_M2_ODfc,F_nucleatum_subsp_nucleatum_M2_ODfc,F_nucleatum_subsp_vincentii_M2_ODfc,H_parainfluenzae_M2_ODfc,L_acidophilus_M2_ODfc,L_delbrueckii_subsp_delbrueckii_M2_ODfc,L_fermentum_M2_ODfc,L_gasseri_M2_ODfc,L_lactis_M2_ODfc,L_paracasei_M2_ODfc,L_plantarum_M2_ODfc,L_ruminis_M2_ODfc,L_sakei_subsp_sakei_M2_ODfc,L_salivarius_M2_ODfc,L_vaginalis_M2_ODfc,O_splanchnicus_M2_ODfc,P_capillosus_M2_ODfc,P_copri_M2_ODfc,C_difficile_M2_ODfc,P_distasonis_M2_ODfc,P_melaninogenica_M2_ODfc,P_merdae_M2_ODfc,R_bromii_M2_ODfc,R_gnavus_M2_ODfc,R_hominis_M2_ODfc,R_intestinalis_M2_ODfc,R_torques_M2_ODfc,S_flexneri_M2_ODfc,S_parasanguinis_M2_ODfc,S_salivarius_M2_ODfc,S_sonnei_M2_ODfc,S_typhimurium_ATCC14028_M2_ODfc,S_typhimurium_LT2_M2_ODfc,V_cholerae_A1552_M2_ODfc,V_cholerae_N16961_M2_ODfc,V_parvula_M2_ODfc,Y_pseudotuberculosis_M2_ODfc
0,8,0.0,15.78182863266354,0.0,0.0,5.198022748272578,5.437191672514574,0.0,2.3851714018822485,5.434104651774595,0.0,0.0,3.1710320518736523,0.0,3.4597032604083844,2.3768025896906484,1.9531983414234384,2.1394088771186754,2.1084496622289834,2.429020350759685,2.3025756823042496,2.2671286871123417,2.07081377314787,4.583286499471499,8.960441509797148,7.210864519330885,5.998238863506189,3.0977470218171796,0.0,2.062255691974265,0.0,0.0,0.0,4.40511694993382,3.965893513418995,0.0,2.6507214826839576,2.157165261686553,0.0,0.0,12.148389311277922,0.0,11.012089710833877,8.443542981251737,5.011235600956505,9.869196207338272,4.068851303722081,0.0,4.5091845087894376,3.726841903992849,4.0588302291094145,4.549788260663235,4.450890235405329,4.354399020429012,5.302483055552146,6.3771977881375586,0.0,0.0,0.0,0.0,0.0,3.8455894127268317,1.8543900526816506,0.0,0.0,0.0,2.2417734258658886,0.0,4.636771239364147,3.6919348166808863,7.547973869420169,4.59884514936234,3.4654535432974165,5.281855510500751,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.417584613967984,0.0,3.5440157740955547,0.0,4.64593692732408,12.931567055508083,14.731542137278188,3.9709124394721207,4.839774064926787,4.449353444359376,4.443683428040251,3.8921353431524985,0.0,13.72014363275848
1,12,0.0,16.095260592122454,0.0,0.0,6.086158817112231,6.375926319481791,0.0,2.673507383517949,6.372187102772393,0.0,0.0,3.6303371592326803,0.0,3.980079265836237,2.6680799344392767,2.155770343131437,2.3804630497886734,2.3429545767263633,2.7313451519074805,2.5781495364356677,2.535203330118113,2.2973558520450283,4.909893067255034,10.644558068318704,8.522052679536785,7.055671346701717,3.5415489011874532,0.0,2.286987279608318,0.0,0.0,0.0,5.1255059181823865,4.59335975458973,0.0,2.9999493180169234,2.40197583569535,0.0,0.0,14.130100057208567,0.0,11.699936503024194,9.430738278485778,5.926126181935507,11.745572419937638,4.71810051396599,0.0,4.8435328901212165,4.075403030019885,4.640634347660508,4.802687740167422,4.872151047581423,4.821203467404998,5.547255930557237,7.514802221208298,0.0,0.0,0.0,0.0,0.0,4.446979320286821,2.040802437851937,0.0,0.0,0.0,2.5044839199683655,0.0,5.13469251480394,4.26144355687593,8.93326758953065,5.360219422817206,3.9980140230619874,6.1920671638046105,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.140611324014839,0.0,4.082229606343691,0.0,4.9806579866625755,14.014104603335628,15.72181605355253,4.3145471216415,5.259656528536296,4.727171771809739,5.129465977825692,4.408216697523264,0.0,14.847446816158746
2,18,0.0,16.25991408271778,0.0,0.0,7.04225632202186,7.386494327379319,0.0,2.985451002914302,7.382052677943649,0.0,0.0,4.124788822860973,0.0,4.540275260644179,2.981646159039628,2.3734956597763808,2.6399629624890286,2.595403892000393,3.0568041126348953,2.8748106184663755,2.8237913598284337,2.5412332124189616,5.116306628380574,12.457545237534461,9.869151158716706,8.194019243930839,4.01931064166998,0.0,2.5289155848092446,0.0,0.0,0.0,5.901019891949006,5.268840557500196,0.0,3.375900467146212,2.665519649920023,0.0,0.0,15.850453871061463,0.0,12.11054601374979,10.325343249873548,6.838189577705368,13.765530122744725,5.4170307224732,0.0,5.062177989978643,4.357198038127029,5.141573910607724,4.944642330594604,5.180042415937622,5.206578041309696,5.665242006847711,8.73945723994766,0.0,0.0,0.0,0.0,0.0,5.09461658553638,2.238779840913011,0.0,0.0,0.0,2.7872973194409534,0.0,5.547555513082812,4.874531369176009,10.424565713119641,6.179854934446045,4.566551544566768,7.170272658171037,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.918964855455593,0.0,4.661628174272719,0.0,5.199909836530783,14.782392711473392,16.405666111492703,4.551169319169818,5.557149431007127,4.903596043179738,5.801125110723923,4.9083851582351405,0.0,15.736773382226614
3,24,0.0,16.32587014000662,0.0,0.0,7.742633873392847,8.126773627431591,0.0,3.2154503694616254,8.121817107853435,0.0,0.0,4.486993233385943,0.0,4.950640068098966,3.211345194710223,2.5326610346842604,2.8300563899389295,2.7803323196646876,3.2952149443740475,3.092125999810671,3.0351929338956016,2.719882555945764,5.210241130055924,13.785626484030535,10.807540700550492,9.027901315358156,4.36928870689263,0.0,2.7061371504709975,0.0,0.0,0.0,6.469113009321017,5.763655725252948,0.0,3.6512987984666845,2.858575440026019,0.0,0.0,16.869733055489462,0.0,12.290061719292295,10.888579061946954,7.449475826419591,15.245224063994089,5.929023062194838,0.0,5.164658031182549,4.516178362119912,5.434334755548431,5.003220640098949,5.338125143255647,5.427392938850357,5.708005252781712,9.636562822656058,0.0,0.0,0.0,0.0,0.0,5.56925122891367,2.381368842678704,0.0,0.0,0.0,2.9944687501187714,0.0,5.7853602770746875,5.3236408419274825,11.516997711592882,6.780268725504173,4.978645773127329,7.885289545612109,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.4891380297800945,0.0,5.086059375216548,0.0,5.303021514809701,15.171932889023473,16.746777267223976,4.666346765866843,5.706383088433935,4.9847039587082875,6.247798082739157,5.239899266520838,0.0,16.235108911096166
4,48,0.0,16.4,0.0,0.0,14.39,11.259999999999998,0.0,3.77,10.8,0.0,0.0,5.8999999999999995,0.0,7.845,3.76,2.91,3.4300000000000006,3.3200000000000007,4.430000000000001,4.22,3.78,3.2900000000000005,5.33,17.27,12.86,11.129999999999999,5.719999999999999,0.0,3.2600000000000007,0.0,0.0,0.0,8.82,7.569999999999999,0.0,4.46,3.3500000000000005,0.0,0.0,18.64,0.0,12.509999999999998,11.979999999999999,10.29,20.13,7.4399999999999995,0.0,5.3,4.779999999999999,5.93,5.069999999999999,5.57,5.799999999999999,5.749999999999999,12.709999999999999,0.0,0.0,0.0,0.0,0.0,6.7,2.71,0.0,0.0,0.0,5.49,0.0,6.1899999999999995,6.74,15.93,8.649999999999999,5.9399999999999995,9.58,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.93,0.0,6.65,0.0,5.44,15.74,17.24,4.825,5.919999999999999,5.09,7.159999999999999,5.919999999999999,0.0,17.07
